INFO 2026-06-24 15:30:56,699 django.server log.py:249 - "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-06-24 15:30:56,700 django.server log.py:249 - "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2026-06-24 15:31:02,855 django.server log.py:249 - "GET /admin/auth/user/3/change/ HTTP/1.1" 200 31171
INFO 2026-06-24 15:31:02,897 django.server log.py:249 - "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2026-06-24 15:31:02,898 django.server log.py:249 - "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 16428
INFO 2026-06-24 15:31:02,898 django.server log.py:249 - "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19698
INFO 2026-06-24 15:31:02,903 django.server log.py:249 - "GET /static/admin/js/calendar.js HTTP/1.1" 200 9159
INFO 2026-06-24 15:31:02,975 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:31:03,067 django.server log.py:249 - "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 2387
INFO 2026-06-24 15:31:03,067 django.server log.py:249 - "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1112
INFO 2026-06-24 15:31:03,068 django.server log.py:249 - "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 805
INFO 2026-06-24 15:31:04,577 django.server log.py:249 - "GET /admin/auth/user/3/delete/ HTTP/1.1" 200 12291
INFO 2026-06-24 15:31:04,614 django.server log.py:249 - "GET /static/admin/js/cancel.js HTTP/1.1" 200 884
WARNING 2026-06-24 15:31:05,981 discussion_app.signals signals.py:39 - User deleted: A (ID: 3)
INFO 2026-06-24 15:31:06,010 django.server log.py:249 - "POST /admin/auth/user/3/delete/ HTTP/1.1" 302 0
INFO 2026-06-24 15:31:06,172 django.server log.py:249 - "GET /admin/auth/user/ HTTP/1.1" 200 17299
INFO 2026-06-24 15:31:06,298 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:31:06,323 django.server log.py:249 - "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
INFO 2026-06-24 15:31:08,293 django.server log.py:249 - "GET /admin/auth/user/2/change/ HTTP/1.1" 200 31253
INFO 2026-06-24 15:31:08,401 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:31:10,526 django.server log.py:249 - "GET /admin/auth/user/2/delete/ HTTP/1.1" 200 12464
WARNING 2026-06-24 15:31:11,758 discussion_app.signals signals.py:39 - User deleted: mri (ID: 2)
INFO 2026-06-24 15:31:11,791 django.server log.py:249 - "POST /admin/auth/user/2/delete/ HTTP/1.1" 302 0
INFO 2026-06-24 15:31:11,884 django.server log.py:249 - "GET /admin/auth/user/ HTTP/1.1" 302 0
INFO 2026-06-24 15:31:12,020 django.server log.py:249 - "GET /admin/login/?next=/admin/auth/user/ HTTP/1.1" 200 4250
INFO 2026-06-24 15:31:12,059 django.server log.py:249 - "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-06-24 15:31:59,551 discussion_app.signals signals.py:32 - User created: Mri (ID: 5)
INFO 2026-06-24 15:32:12,959 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-24 15:35:41,002 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\doubt_discussion_app\discussion_app\views.py changed, reloading.
INFO 2026-06-24 15:35:42,194 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-24 15:36:04,982 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\doubt_discussion_app\discussion_app\views.py changed, reloading.
INFO 2026-06-24 15:36:06,293 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-24 15:36:17,308 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\doubt_discussion_app\discussion_app\views.py changed, reloading.
INFO 2026-06-24 15:36:18,505 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-24 15:37:47,097 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
WARNING 2026-06-24 15:37:52,343 django.request log.py:249 - Not Found: /
WARNING 2026-06-24 15:37:52,344 django.server log.py:249 - "GET / HTTP/1.1" 404 2316
INFO 2026-06-24 15:37:57,836 django.server log.py:249 - "GET /admin/ HTTP/1.1" 302 0
INFO 2026-06-24 15:37:58,028 django.server log.py:249 - "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
INFO 2026-06-24 15:37:58,051 django.server log.py:249 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-06-24 15:37:58,053 django.server log.py:249 - "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-06-24 15:37:58,054 django.server log.py:249 - "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-06-24 15:37:58,059 django.server log.py:249 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-06-24 15:37:58,061 django.server log.py:249 - "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2026-06-24 15:37:58,062 django.server log.py:249 - "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-06-24 15:37:58,067 django.server log.py:249 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-06-24 15:38:08,782 django.server log.py:249 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4246
INFO 2026-06-24 15:38:35,462 django.server log.py:249 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4246
INFO 2026-06-24 15:40:53,361 django.server log.py:249 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4246
INFO 2026-06-24 15:41:02,399 django.server log.py:249 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4246
INFO 2026-06-24 15:41:15,153 discussion_app.signals signals.py:34 - User updated: Mri (ID: 5)
INFO 2026-06-24 15:41:15,170 django.server log.py:249 - "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-06-24 15:41:15,364 django.server log.py:249 - "GET /admin/ HTTP/1.1" 200 12618
INFO 2026-06-24 15:41:15,392 django.server log.py:249 - "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-06-24 15:41:15,405 django.server log.py:249 - "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:15,406 django.server log.py:249 - "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,027 django.server log.py:249 - "GET /admin/auth/user/ HTTP/1.1" 200 17150
INFO 2026-06-24 15:41:21,059 django.server log.py:249 - "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,070 django.server log.py:249 - "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,071 django.server log.py:249 - "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,074 django.server log.py:249 - "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,080 django.server log.py:249 - "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,081 django.server log.py:249 - "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,082 django.server log.py:249 - "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,085 django.server log.py:249 - "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,086 django.server log.py:249 - "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,086 django.server log.py:249 - "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,097 django.server log.py:249 - "GET /static/admin/img/icon-no.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,097 django.server log.py:249 - "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,103 django.server log.py:249 - "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,158 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:41:21,186 django.server log.py:249 - "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,187 django.server log.py:249 - "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:21,194 django.server log.py:249 - "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:24,724 django.server log.py:249 - "GET /admin/auth/user/5/change/ HTTP/1.1" 200 31252
INFO 2026-06-24 15:41:24,765 django.server log.py:249 - "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:24,766 django.server log.py:249 - "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
